подсистема,оператор_описаниги,класс,экземпляров_в_файле,блок_СНХМ,тип,имя_в_файле,смысл_по_описаниге,вердикт,фактическое_соответствие
схема 1-17.2 ядро+инвестиции,1158,шаблон сектора (off 158),10,1158,1,возврат долгов через заем в банке оборотнго кредита потребителями исходн сырья,входы | возврат долгов покупателями / оплата банковскими кредитами,совпадает,
схема 7 ВЭД,1160,шаблон сектора (off 160),13,1160,2,индекс экспортной цены в дол,цена в инвалюте,совпадает,
схема 7 ВЭД,1161,шаблон сектора (off 161),13,1161,7,заявка на экспорт в секторе сырья,"min(квота, план)",совпадает,
схема 7 ВЭД,1162,шаблон сектора (off 162),13,1162,15,ограничение экспортаот низкой цены экспорта,ключ разрешения экспорта,совпадает,
схема 7 ВЭД,1163,шаблон сектора (off 163),13,1163,2,квота экспорта на сырье,"квота экспорта (доля выпуска, ≤1)",совпадает,
схема 7 ВЭД,1164,шаблон сектора (off 164),13,1164,11,доля экспорта сырья,сравнение выручек (экспорт vs внутренний рынок),частично,
схема 1-17.2 ядро+инвестиции,1167,шаблон сектора (off 167),13,1167,10,экспортная выручка в рублевом выражении,вход | экспорт,совпадает,
схема 7 ВЭД,1167,шаблон сектора (off 167),13,1167,10,экспортная выручка в рублевом выражении,рублёвая выручка от экспорта,совпадает,
схема 7 ВЭД,1169,шаблон сектора (off 169),13,1169,9,экспортная выручка в долл,экспортная выручка,совпадает,
схема 7 ВЭД,1170,шаблон сектора (off 170),13,1170,10,предлож долл от экспортной выручки на бирже,доля продаж экспортной выручки на бирже,совпадает,
схема 7 ВЭД,1171,шаблон сектора (off 171),13,1171,2,план экспорта,"план экспорта (доля выпуска, ≤1)",совпадает,
схема 7 ВЭД,1174,шаблон сектора (off 174),13,1174,5,дол накопления в секторе,накопленная сектором инвалюта (интегратор),совпадает,
схема 7 ВЭД,1175,шаблон сектора (off 175),13,1175,9,дол из чистой прибыли на закупку Фа,закупка Фа за счёт инвестиционного финансирования,совпадает,
схема 7 ВЭД,1176,шаблон сектора (off 176),13,1176,1,экспортн выр после уплаты таможенных сборов,экспортная выручка,частично,
схема 7 ВЭД,1198,шаблон сектора (off 198),13,1198,2,степень интенс расхода накопления инвалюты для импорта Фа,интенсивность и ключ использования валютных накоплений,совпадает,
схема 7 ВЭД,1199,шаблон сектора (off 199),11,1199,15,вкл инвал накоплений для импорта Фа,интенсивность и ключ использования валютных накоплений,совпадает,
схема 12-17.13 биржа,1199,шаблон сектора (off 199),11,1199,15,вкл инвал накоплений для импорта Фа,инвалютные накопления секторов,совпадает,
схема 1-17.2 ядро+инвестиции,1200,шаблон сектора (off 200),10,1200,1,суммарные рубли за куплен импортн Фа,вход | импорт (фондов),совпадает,
схема 7 ВЭД,1200,шаблон сектора (off 200),10,1200,1,суммарные рубли за куплен импортн Фа,стоимость импорта Фа,совпадает,
схема 6 предм.труда,1201,шаблон сектора (off 201),13,1201,2,К импорта в сектор,норма потребления импортируемого предмета труда,совпадает,
схема 6 предм.труда,1202,шаблон сектора (off 202),13,1202,9,спрос сектора на валюту для импорта сырья,требуемая инвалюта на импорт,совпадает,
схема 6 предм.труда,1203,шаблон сектора (off 203),13,1203,14,степень наличия исходн импортного сырья для производства,достаточность накопления импорта (0÷1),совпадает,
схема 6 предм.труда,1204,шаблон сектора (off 204),13,1204,5,накоплено импортного сырья в секторе,накопление импорта (интегратор),совпадает,
схема 6 предм.труда,1205,шаблон сектора (off 205),13,1205,9,заявка на дол для сырья с учетом фин возможностей,"обмен рублей на инвалюту, min, полученная инвалюта",совпадает,
схема 6 предм.труда,1206,шаблон сектора (off 206),13,1206,7,реадьно полученные дол для импорта сырья,"обмен рублей на инвалюту, min, полученная инвалюта",совпадает,
схема 6 предм.труда,1207,шаблон сектора (off 207),13,1207,9,степень удовлетворения в дол для закупки сырья,"обмен рублей на инвалюту, min, полученная инвалюта",совпадает,
схема 6 предм.труда,1208,шаблон сектора (off 208),13,1208,9,поток тарифа в бюджет за импорт сырья,пошлина в казну Минфина,совпадает,
схема 6 предм.труда,1209,шаблон сектора (off 209),13,1209,13,поток закупленного импортного сырья,натуральный поток импорта,совпадает,
схема 6 предм.труда,1210,шаблон сектора (off 210),13,1210,9,поток расхода импортного сырья,расход импорта,совпадает,
схема 6 предм.труда,1211,шаблон сектора (off 211),13,1211,2,К сырья в сектор,норма количества сырья на единицу продукции,совпадает,
схема 6 предм.труда,1212,шаблон сектора (off 212),13,1212,11,спрос сектора на исходный продукт,спрос на сырьё,совпадает,
схема 6 предм.труда,1213,шаблон сектора (off 213),13,1213,14,степень наличия исходн продуктов для производства,учёт изменяемости нормы запаса сырья,совпадает,
схема 6 предм.труда,1214,шаблон сектора (off 214),13,1214,11,степень наличия исходных продуктов,учёт изменяемости нормы запаса сырья,совпадает,
схема 1-17.2 ядро+инвестиции,1215,шаблон сектора (off 215),13,1215,5,сумма долга поставщику исх прод,входы | накопленные долги от каждого поставщика предметов труда,совпадает,
схема 6 предм.труда,1215,шаблон сектора (off 215),13,1215,5,сумма долга поставщику исх прод,долг поставщику сырья (интегратор),совпадает,
схема 1-17.2 ядро+инвестиции,1216,шаблон сектора (off 216),13,1216,1,реалбные текущие мат затраты на оплату конкретн исх прод,входы | продажа секторам (от сектора 1 до сектора 13),частично,
схема 6 предм.труда,1216,шаблон сектора (off 216),13,1216,1,реалбные текущие мат затраты на оплату конкретн исх прод,материальные затраты на сырьё / неоплата,совпадает,
схема 6 предм.труда,1217,шаблон сектора (off 217),13,1217,9,требуемые текущие мат затраты по конкретн поставке,материальные затраты на сырьё / неоплата,совпадает,
схема 6 предм.труда,1218,шаблон сектора (off 218),13,1218,9,степень недостаточности финансовых средств,материальные затраты на сырьё / неоплата,совпадает,
схема 6 предм.труда,1219,шаблон сектора (off 219),13,1219,5,склад исходной продукции,склад накопления сырья,совпадает,
схема 6 предм.труда,1220,шаблон сектора (off 220),13,1220,10,поток расходов исходного продукта,поток используемого сырья,совпадает,
схема 1-17.2 ядро+инвестиции,1225,шаблон сектора (off 225),13,1225,5,сумма долга поставщику исх прод,входы | накопленные долги от каждого поставщика предметов труда,совпадает,
схема 1-17.2 ядро+инвестиции,1235,шаблон сектора (off 235),13,1235,5,сумма долга поставщику исх прод,входы | накопленные долги от каждого поставщика предметов труда,совпадает,
схема 6 предм.труда,1240,шаблон сектора (off 240),13,1240,9,поток расходов исходного продукта,поставляемый газовый поток / необходимый газовый поток,частично,
схема 1-17.2 ядро+инвестиции,1245,шаблон сектора (off 245),13,1245,5,сумма долга поставщику исх прод,входы | накопленные долги от каждого поставщика предметов труда,совпадает,
схема 1-17.2 ядро+инвестиции,1255,шаблон сектора (off 255),13,1255,5,сумма долга поставщику исх прод,входы | накопленные долги от каждого поставщика предметов труда,совпадает,
схема 1-17.2 ядро+инвестиции,1265,шаблон сектора (off 265),13,1265,5,сумма долга поставщику исх прод,входы | накопленные долги от каждого поставщика предметов труда,совпадает,
схема 1-17.2 ядро+инвестиции,1275,шаблон сектора (off 275),13,1275,5,сумма долга поставщику исх прод,входы | накопленные долги от каждого поставщика предметов труда,совпадает,
схема 1-17.2 ядро+инвестиции,1285,шаблон сектора (off 285),13,1285,2,,входы | накопленные долги от каждого поставщика предметов труда,совпадает,
схема 6 предм.труда,1292,шаблон сектора (off 292),13,1292,1,,поток приобретаемого сырья,совпадает,
схема 6 предм.труда,1294,шаблон сектора (off 294),13,1294,1,,поставляемый газовый поток / необходимый газовый поток,совпадает,
схема 8 кредит,1299,шаблон сектора (off 299),9,1299,2,максим уровень долга поставщику сырья при котором берут кредит,1-й уровень «терпения» поставщиков,совпадает,
схема 6 предм.труда,1302,шаблон сектора (off 302),13,1302,11,формир отключ поставок сырья при длительной их неоплате,относительная величина долга = долг / стоимость поставок,совпадает,
схема 6 предм.труда,1303,шаблон сектора (off 303),13,1303,15,формир отключ поставок сырья при длительной их неоплате,ключ размыкания при превышении нормы,частично,
схема 1-17.2 ядро+инвестиции,1362,шаблон сектора (off 362),13,1362,14,подключение депозитов для погашения долгов поставщикам сырья,нелинейн. | подключение накоплений к погашению долга,совпадает,
схема 1-17.2 ядро+инвестиции,1363,шаблон сектора (off 363),13,1363,2,предельная величина максим долга при котором прекращаются инвестиц расходы,K | максимально допустимая величина долга одному поставщику,совпадает,
схема 1-17.2 ядро+инвестиции,1364,шаблон сектора (off 364),13,1364,8,выбор максимального долга за сырье,max | максимум из накопленных долгов поставщикам,совпадает,
схема 1-17.2 ядро+инвестиции,1365,шаблон сектора (off 365),13,1365,15,выключение инвестиций при необходимости платить долги поставщикам сырья,ключ | замкнут при малом долге (нормальное распределение инвестиций),совпадает,
схема 1-17.2 ядро+инвестиции,1366,шаблон сектора (off 366),13,1366,15,выключ инвестиций в оплату долгов поставщикам сырья,ключ | замкнут при большом долге (инвестиции → на погашение),совпадает,
схема 1-17.2 ядро+инвестиции,1367,шаблон сектора (off 367),13,1367,1,поток денег из депозита и инвестиций для погашения долга поставщикам сырья,Σ | поток погашения долга,совпадает,
схема 8 кредит,1367,шаблон сектора (off 367),13,1367,1,поток денег из депозита и инвестиций для погашения долга поставщикам сырья,другие ресурсы для погашения долгов,совпадает,
схема 6 предм.труда,1400,шаблон сектора (off 400),7,1400,2,предельная величина неоплаты поставок сырья при которой еще сохраняется поставка,норма невозврата долга (2-й уровень «терпения»),совпадает,
схема 8 кредит,1401,шаблон сектора (off 401),13,1401,11,возврат долга за поставку сырья из прибыли,выплаты долгов из прибыли,совпадает,
схема 8 кредит,1407,шаблон сектора (off 407),13,1407,11,возврат долга за поставку сырья из прибыли,выплаты долгов из прибыли,совпадает,
схема 1-17.2 ядро+инвестиции,1410,шаблон сектора (off 410),13,1410,14,сумма всех долгов за поставку сырья,вход | суммарный долг поставщикам,совпадает,
схема 8 кредит,1410,шаблон сектора (off 410),13,1410,14,сумма всех долгов за поставку сырья,сумма всех долгов,совпадает,
схема 8 кредит,1411,шаблон сектора (off 411),13,1411,11,возврат долга за поставку сырья из прибыли,выплаты долгов из кредита,совпадает,
схема 8 кредит,1417,шаблон сектора (off 417),13,1417,11,возврат долга за поставку сырья из прибыли,выплаты долгов из кредита,совпадает,
схема 8 кредит,1420,шаблон сектора (off 420),13,1420,14,сумма всех долгов за поставку сырья,суммарная величина необходимого кредита,частично,
схема 8 кредит,1421,шаблон сектора (off 421),13,1421,14,потребность в оборотном кредите,сигналы о необходимом кредите,совпадает,
схема 8 кредит,1427,шаблон сектора (off 427),13,1427,14,потребность в оборотном кредите,сигналы о необходимом кредите,совпадает,
схема 8 кредит,1441,шаблон сектора (off 441),13,1441,7,поток кредита из банка,кредитный поток / накопление кредита,совпадает,
схема 8 кредит,1442,шаблон сектора (off 442),13,1442,5,текущий кредитный долг банку,кредитный поток / накопление кредита,совпадает,
схема 8 кредит,1443,шаблон сектора (off 443),13,1443,9,поток процентов за выданный оборотный кредит,начисление процентов на кредит,совпадает,
схема 8 кредит,1444,шаблон сектора (off 444),13,1444,14,сигнал о возможности кредитования банком оборотных средств,разрешение продолжения кредитования (>0),совпадает,
схема 8 кредит,1448,шаблон сектора (off 448),13,1448,9,формиросание сигнала о возможности кредитования,"условия выдачи кредита (ликвидность, норма прибыли vs ставка)",совпадает,
схема 8 кредит,1449,шаблон сектора (off 449),13,1449,2,коэф ликвидности основных фондов для возможности банковского кредитования,"условия выдачи кредита (ликвидность, норма прибыли vs ставка)",совпадает,
схема 8 кредит,1450,шаблон сектора (off 450),13,1450,2,учет превышения нормы приб над ставкой кредита для эффективности кредитования,"условия выдачи кредита (ликвидность, норма прибыли vs ставка)",совпадает,
схема 8 кредит,1451,шаблон сектора (off 451),13,1451,11,превышение нормы прибыли ставки кредита,"условия выдачи кредита (ликвидность, норма прибыли vs ставка)",совпадает,
схема 8 кредит,1452,шаблон сектора (off 452),13,1452,9,потребность в оборотном кредите,ключ «вкл необходимости получения кредита»,совпадает,
схема 12-17.13 биржа,2015,шаблон сектора (off 015),13,1015,11,количество прибыли для импортного оборудования,"часть инвестиционного потока, выделенная на импорт оборудования",совпадает,
схема 1-17.2 ядро+инвестиции,2039,шаблон сектора (off 039),13,1039,4,цена с НДС,входы | параметры сектора 2 (машиностроение) — цена/объём оборудования,совпадает,
схема 1-17.2 ядро+инвестиции,2121,шаблон сектора (off 121),13,1121,11,доля продукции потребителю из сыр в сыр,входы | параметры сектора 2 (машиностроение) — цена/объём оборудования,совпадает,
схема 5 фонды,2121,шаблон сектора (off 121),13,1121,11,доля продукции потребителю из сыр в сыр,поставки отечественного оборудования,частично,
схема 12-17.13 биржа,2199,шаблон сектора (off 199),11,1199,15,вкл инвал накоплений для импорта Фа,инвалютные накопления секторов,совпадает,
схема 1-17.2 ядро+инвестиции,3039,шаблон сектора (off 039),13,1039,4,цена с НДС,входы | параметры сектора 3 (строительство) — цена/объём строительства,совпадает,
схема 15-17.17 соцгруппа,3039,шаблон сектора (off 039),13,1039,4,цена с НДС,цена жилья (от сектора-производителя),совпадает,
схема 1-17.2 ядро+инвестиции,3121,шаблон сектора (off 121),13,1121,11,доля продукции потребителю из сыр в сыр,входы | параметры сектора 3 (строительство) — цена/объём строительства,совпадает,
схема 5 фонды,3121,шаблон сектора (off 121),13,1121,11,доля продукции потребителю из сыр в сыр,строительство промышленных зданий,частично,
схема 14 розн.рынок,4030,шаблон сектора (off 030),13,1030,14,безработица,"цена продукции производителя в секторе сельского хозяйства (в тексте 4030, на схеме 4039)",не совпадает,цена произв. с-х = #4039
схема 14 розн.рынок,4039,шаблон сектора (off 039),13,1039,4,цена с НДС,"цена продукции производителя в секторе сельского хозяйства (в тексте 4030, на схеме 4039)",совпадает,
схема 14 розн.рынок,4119,шаблон сектора (off 119),13,1119,4,сумма спросов,выход «спрос на отечественную с-х продукцию»,частично,
схема 14 розн.рынок,4158,шаблон сектора (off 158),10,1158,1,возврат долгов через заем в банке оборотнго кредита потребителями исходн сырья,розничная цена с-х продукции (торговая надбавка + НДС),не совпадает,"розн. контур в файле = офсеты 177-196 (#4179/4180 наценка, #4183 НДС, #4186/4187 веса цен, #4190 средняя цена ПП)"
схема 14 розн.рынок,4160,шаблон сектора (off 160),13,1160,2,индекс экспортной цены в дол,сравнение цены импортного и отечественного товара,не совпадает,"розн. контур в файле = офсеты 177-196 (#4179/4180 наценка, #4183 НДС, #4186/4187 веса цен, #4190 средняя цена ПП)"
схема 14 розн.рынок,4161,шаблон сектора (off 161),13,1161,7,заявка на экспорт в секторе сырья,розничная цена с-х продукции (Ц_розн.с-х),не совпадает,"розн. контур в файле = офсеты 177-196 (#4179/4180 наценка, #4183 НДС, #4186/4187 веса цен, #4190 средняя цена ПП)"
схема 14 розн.рынок,4162,шаблон сектора (off 162),13,1162,15,ограничение экспортаот низкой цены экспорта,выручка за с-х продукцию,не совпадает,"розн. контур в файле = офсеты 177-196 (#4179/4180 наценка, #4183 НДС, #4186/4187 веса цен, #4190 средняя цена ПП)"
схема 12-17.13 биржа,4166,шаблон сектора (off 166),13,1166,1,таможенный тариф на сырье,"спрос на импортные товары (с-х, ТНП, пищевые) в рублях",совпадает,
схема 14 розн.рынок,4175,шаблон сектора (off 175),13,1175,9,дол из чистой прибыли на закупку Фа,цена импортного товара (цена зарубежного производителя × курс + тамож. тариф + НДС),не совпадает,"розн. контур в файле = офсеты 177-196 (#4179/4180 наценка, #4183 НДС, #4186/4187 веса цен, #4190 средняя цена ПП)"
схема 14 розн.рынок,4187,шаблон сектора (off 187),4,4187,12,доля цены на с-х прод на розн рынке,соотношение цен отечественной и импортной продукции,совпадает,
схема 14 розн.рынок,4188,шаблон сектора (off 188),4,4188,1,НДС2 с-х прод для розн торг,спрос (удовлетворённый) на пищевую продукцию,частично,
схема 14 розн.рынок,4191,шаблон сектора (off 191),4,4191,9,спрос на с-х продукц из сф потребл,спрос (удовлетворённый) на сельскохозяйственную продукцию,совпадает,
схема 14 розн.рынок,4192,шаблон сектора (off 192),4,4192,9,спрос на импортн с-х продукц,спрос на импортную с-х продукцию,совпадает,
схема 14 розн.рынок,4193,шаблон сектора (off 193),4,4193,4,спрос на отеч с-х прод на розн рынке,спрос на отечественную с-х продукцию,совпадает,
схема 14 розн.рынок,4195,шаблон сектора (off 195),3,4195,10,стоим (МЗ) отеч с-х прод на розн рынке,произведения спросов и цен (отеч. / импорт.),совпадает,
схема 14 розн.рынок,4196,шаблон сектора (off 196),4,4196,4,общая стоим с-х прод на розн рынке,материальные затраты в розничной торговле (сумма 4195 и 4197),совпадает,
схема 14 розн.рынок,4197,шаблон сектора (off 197),11,1197,9,расх на импортн Фа  в рублевом выражении,произведения спросов и цен (отеч. / импорт.),не совпадает,#4197 = расходы на импортн Фа; произведения спрос x цена = #4195 (отеч.) и #k177/#k178
схема 12-17.13 биржа,5166,шаблон сектора (off 166),13,1166,1,таможенный тариф на сырье,"спрос на импортные товары (с-х, ТНП, пищевые) в рублях",совпадает,
схема 8 кредит,7299,шаблон сектора (off 299),9,1299,2,максим уровень долга поставщику сырья при котором берут кредит,1-й уровень «терпения» поставщиков,совпадает,
схема 8 кредит,8299,шаблон сектора (off 299),9,1299,2,максим уровень долга поставщику сырья при котором берут кредит,1-й уровень «терпения» поставщиков,совпадает,
схема 8 кредит,9299,шаблон сектора (off 299),9,1299,2,максим уровень долга поставщику сырья при котором берут кредит,1-й уровень «терпения» поставщиков,совпадает,
схема 6 предм.труда,9400,шаблон сектора (off 400),7,1400,2,предельная величина неоплаты поставок сырья при которой еще сохраняется поставка,аналог 1400 для газа,совпадает,
схема 8 кредит,10299,шаблон сектора (off 299),9,1299,2,максим уровень долга поставщику сырья при котором берут кредит,1-й уровень «терпения» поставщиков,совпадает,
схема 14 розн.рынок,11039,шаблон сектора (off 039),13,1039,4,цена с НДС,цена пищевой продукции производителя,совпадает,
схема 15-17.17 соцгруппа,11160,шаблон сектора (off 160),13,1160,2,индекс экспортной цены в дол,цена на ТНП,не совпадает,ТНП — сектор 5; #11160 относится к пищепрому
схема 12-17.13 биржа,11166,шаблон сектора (off 166),13,1166,1,таможенный тариф на сырье,"спрос на импортные товары (с-х, ТНП, пищевые) в рублях",совпадает,
схема 8 кредит,12299,шаблон сектора (off 299),9,1299,2,максим уровень долга поставщику сырья при котором берут кредит,1-й уровень «терпения» поставщиков,совпадает,
схема 21-17.22 безраб.+потенциал,13009,шаблон сектора (off 009),13,1009,10,требуется труда с учетом сменности и потребн в продукции,требуется труда в секторе,совпадает,
схема 21-17.22 безраб.+потенциал,13012,шаблон сектора (off 012),13,1012,2,подано труда,потенциальные трудовые ресурсы сектора (из модели демографии),совпадает,
схема 12-17.13 биржа,13015,шаблон сектора (off 015),13,1015,11,количество прибыли для импортного оборудования,"часть инвестиционного потока, выделенная на импорт оборудования",совпадает,
схема 9-17.10 бюджет,13039,шаблон сектора (off 039),13,1039,4,цена с НДС,прочие сектора,совпадает,
схема 12-17.13 биржа,13199,шаблон сектора (off 199),11,1199,15,вкл инвал накоплений для импорта Фа,инвалютные накопления секторов,совпадает,
схема 1-17.2 ядро+инвестиции,13216,шаблон сектора (off 216),13,1216,1,реалбные текущие мат затраты на оплату конкретн исх прод,входы | продажа секторам (от сектора 1 до сектора 13),совпадает,
схема 8 кредит,13299,шаблон сектора (off 299),9,1299,2,максим уровень долга поставщику сырья при котором берут кредит,1-й уровень «терпения» поставщиков,совпадает,
схема 9-17.10 бюджет,15111,вне шаблонов,1,15111,2,количество человек в соц группе бюджетн,бюджетники,совпадает,
схема 9-17.10 бюджет,15211,вне шаблонов,1,15211,2,количество человек в соц группе военных,военные,совпадает,
схема 9-17.10 бюджет,15311,вне шаблонов,1,15311,2,количество человек в соц группе,пенсионеры,совпадает,
схема 9-17.10 бюджет,15411,вне шаблонов,1,15411,2,количество человек в соц группе,безработные,совпадает,
схема 9-17.10 бюджет,16111,вне шаблонов,1,16111,2,количество человек в соц группе бюджетн,культура,совпадает,
схема 9-17.10 бюджет,16211,вне шаблонов,1,16211,2,количество человек в соц группе бюджетн,медицина,совпадает,
схема 21-17.22 безраб.+потенциал,16311,вне шаблонов,1,16311,2,количество человек в соц группе бюджетн,"блок научного потенциала (бюджет, профицит, количество человек)",совпадает,
схема 9-17.10 бюджет,16311,вне шаблонов,1,16311,2,количество человек в соц группе бюджетн,образование,не совпадает,163xx = наука (16302 <- 871)
схема 21-17.22 безраб.+потенциал,16411,вне шаблонов,1,16411,2,количество человек в соц группе бюджетн,блок образовательного потенциала,совпадает,
схема 9-17.10 бюджет,16411,вне шаблонов,1,16411,2,количество человек в соц группе бюджетн,наука,не совпадает,164xx = образование (16402 <- 881)
